 	Критерий Calinski-Harabasz	 	F1-мера	 	Hubert's Г статистика
Размерность: 3	Количество объектов: 1000	Размерность: 3	Количество объектов: 1000	Размерность: 3	Количество объектов: 1000
Количество кластеров:	Время, с:	Количество кластеров:	Время, с:	Количество кластеров:	Время, с:
2	0,314	2	0,0712	2	0,0302
3	0,3302	3	0,1222	3	0,1732
4	0,3834	4	0,1648	4	0,1714
5	0,447	5	0,2154	5	0,1924
6	0,518	6	0,269	6	0,2028
7	0,5876	7	0,3222	7	0,211
8	0,66	8	0,3708	8	0,2174
9	0,7396	9	0,4318	9	0,2184
10	0,8134	10	0,4778	10	0,2228
Количество кластеров: 3	Количество объектов: 1000	Количество кластеров: 3	Количество объектов: 1000	Количество кластеров: 3	Количество объектов: 1000
Размерность:	Время, с:	Размерность:	Время, с:	Размерность:	Время, с:
1	0,1478	1	0,1114	1	0,0666
2	0,2462	2	0,1112	2	0,1006
3	0,3306	3	0,1154	3	0,1356
4	0,4108	4	0,11	4	0,1702
5	0,4982	5	0,1198	5	0,204
6	0,576	6	0,1112	6	0,2382
7	0,6616	7	0,111	7	0,2706
8	0,748	8	0,1126	8	0,3046
9	0,8396	9	0,111	9	0,3422
10	0,9122001	10	0,111	10	0,3736
Количество кластеров: 3	Размерность: 3	Количество кластеров: 3	Размерность: 3	Количество кластеров: 3	Размерность: 3
Количество объектов:	Время, с:	Количество объектов:	Время, с:	Количество объектов:	Время, с:
1000	0,329	1000	0,1122	1000	0,136
2000	1,306	2000	0,4516	2000	0,543
3000	2,9576	3000	1,0122	3000	1,2358
4000	5,263	4000	1,7834	4000	2,1992
5000	8,2538	5000	2,801	5000	3,4558
6000	11,9398	6000	4,1016	6000	4,9996
7000	16,181	7000	5,5136	7000	6,824399
8000	21,1468	8000	7,156001	8000	8,9522
9000	26,7978	9000	9,168799	9000	11,237
10000	33,04	10000	11,2584	10000	14,1172
