 	Hubert's Г статистика
Размерность: 3	Количество объектов: 1000
Количество кластеров:	Время, с:
2	0,0302
3	0,1732
4	0,1714
5	0,1924
6	0,2028
7	0,211
8	0,2174
9	0,2184
10	0,2228
Количество кластеров: 3	Количество объектов: 1000
Размерность:	Время, с:
1	0,0666
2	0,1006
3	0,1356
4	0,1702
5	0,204
6	0,2382
7	0,2706
8	0,3046
9	0,3422
10	0,3736
Количество кластеров: 3	Размерность: 3
Количество объектов:	Время, с:
1000	0,136
2000	0,543
3000	1,2358
4000	2,1992
5000	3,4558
6000	4,9996
7000	6,824399
8000	8,9522
9000	11,237
10000	14,1172
