 	Индекс FM
Размерность: 3	Количество объектов: 1000
Количество кластеров:	Время, с:
2	0,0592
3	0,063
4	0,0596
5	0,0574
6	0,0542
7	0,0592
8	0,0566
9	0,0554
10	0,0562
Количество кластеров: 3	Количество объектов: 1000
Размерность:	Время, с:
1	0,0658
2	0,064
3	0,0648
4	0,0658
5	0,0652
6	0,067
7	0,0664
8	0,0674
9	0,06720001
10	0,0644
Количество кластеров: 3	Размерность: 3
Количество объектов:	Время, с:
1000	0,0644
2000	0,2656
3000	0,5958
4000	1,058
5000	1,6686
6000	2,3902
7000	3,2568
8000	4,2572
9000	5,3664
10000	6,5954
