 	Индекс Jaccard
Размерность: 3	Количество объектов: 1000
Количество кластеров:	Время, с:
2	0,0768
3	0,08279999
4	0,0614
5	0,0604
6	0,0566
7	0,0542
8	0,0538
9	0,0562
10	0,056
Количество кластеров: 3	Количество объектов: 1000
Размерность:	Время, с:
1	0,0652
2	0,0656
3	0,0642
4	0,0632
5	0,06500001
6	0,0682
7	0,066
8	0,063
9	0,0622
10	0,0634
Количество кластеров: 3	Размерность: 3
Количество объектов:	Время, с:
1000	0,0634
2000	0,2562
3000	0,5776001
4000	1,052
5000	1,7708
6000	2,419
7000	3,227
8000	4,2232
9000	5,3058
10000	6,647
