 	Индекс Rand
Размерность: 3	Количество объектов: 1000
Количество кластеров:	Время, с:
2	0,1008
3	0,0962
4	0,0848
5	0,08
6	0,081
7	0,0806
8	0,0794
9	0,07880001
10	0,07880001
Количество кластеров: 3	Количество объектов: 1000
Размерность:	Время, с:
1	0,0872
2	0,08580001
3	0,0862
4	0,08859999
5	0,0874
6	0,0852
7	0,0866
8	0,08620001
9	0,0878
10	0,0862
Количество кластеров: 3	Размерность: 3
Количество объектов:	Время, с:
1000	0,0874
2000	0,3486
3000	0,7812
4000	1,3614
5000	2,1606
6000	3,1004
7000	4,2692
8000	5,5274
9000	7,000999
10000	8,7472
