 	Индекс Scatter_Density
Размерность: 3	Количество объектов: 1000
Количество кластеров:	Время, с:
2	0,0014
3	3,968
4	9,478601
5	16,162
6	24,0144
7	33,6274
8	44,291
9	55,5428
10	68,832
Количество кластеров: 3	Количество объектов: 1000
Размерность:	Время, с:
1	1,6284
2	2,7818
3	3,9274
4	5,1834
5	6,461999
6	7,5706
7	8,7806
8	10,1174
9	11,3394
10	12,5732
Количество кластеров: 3	Размерность: 3
Количество объектов:	Время, с:
1000	3,9872
2000	15,9356
3000	36,0272
4000	63,73861
5000	99,9604
6000	142,8754
7000	195,102
8000	255,4854
9000	326,7262
10000	430,825
