 	Индекс Scatter-Distance
Размерность: 3	Количество объектов: 1000
Количество кластеров:	Время, с:
2	0,0014
3	0,002
4	0,006
5	0,0206
6	0,0278
7	0,036
8	0,0446
9	0,0506
10	0,063
Количество кластеров: 3	Количество объектов: 1000
Размерность:	Время, с:
1	0
2	0,001
3	0,002
4	0,004
5	0,006
6	0,008
7	0,0102
8	0,0136
9	0,0158
10	0,0204
Количество кластеров: 3	Размерность: 3
Количество объектов:	Время, с:
1000	0,002
2000	0,006
3000	0,008
4000	0,0106
5000	0,013
6000	0,0164
7000	0,0192
8000	0,0206
9000	0,0232
10000	0,0274
