 	Индекс Данна
Размерность: 3	Количество объектов: 1000
Количество кластеров:	Время, с:
2	0,1024
3	0,1254
4	0,1476
5	0,1248
6	0,1266
7	0,1338
8	0,1466
9	0,1562
10	0,1624
Количество кластеров: 3	Количество объектов: 1000
Размерность:	Время, с:
1	0,0598
2	0,0842
3	0,1114
4	0,135
5	0,1598
6	0,1804
7	0,1986
8	0,222
9	0,2424
10	0,2658
Количество кластеров: 3	Размерность: 3
Количество объектов:	Время, с:
1000	0,1082
2000	0,4272
3000	0,961
4000	1,6946
5000	2,6612
6000	3,8942
7000	5,2752
8000	6,9864
9000	8,827
10000	11,1162
