 	Индекс Девиса-Болдуина
Размерность: 3	Количество объектов: 1000
Количество кластеров:	Время, с:
2	0
3	0,0012
4	0,003
5	0,0054
6	0,0086
7	0,0132
8	0,0156
9	0,02
10	0,0252
Количество кластеров: 3	Количество объектов: 1000
Размерность:	Время, с:
1	0
2	0
3	0,001
4	0,001
5	0,002
6	0,002
7	0,0032
8	0,003
9	0,003
10	0,0038
Количество кластеров: 3	Размерность: 3
Количество объектов:	Время, с:
1000	0,001
2000	0,0024
3000	0,0038
4000	0,005
5000	0,006
6000	0,0076
7000	0,0088
8000	0,0102
9000	0,0104
10000	0,013
