 	Индекс Маулика-Бандиопадия
Размерность: 3	Количество объектов: 1000
Количество кластеров:	Время, с:
2	0,0012
3	0,001
4	0,0012
5	0,002
6	0,002
7	0,003
8	0,004
9	0,0044
10	0,005
Количество кластеров: 3	Количество объектов: 1000
Размерность:	Время, с:
1	0
2	0,001
3	0,001
4	0,002
5	0,002
6	0,003
7	0,003
8	0,004
9	0,004
10	0,005
Количество кластеров: 3	Размерность: 3
Количество объектов:	Время, с:
1000	0,001
2000	0,003
3000	0,0044
4000	0,006
5000	0,0076
6000	0,009
7000	0,0108
8000	0,012
9000	0,0142
10000	0,0152
