 	Индекс Силуэта
Размерность: 3	Количество объектов: 1000
Количество кластеров:	Время, с:
2	0,5214
3	0,5716
4	0,5902001
5	0,6344
6	0,6656
7	0,6966
8	0,722
9	0,7642
10	0,7992
Количество кластеров: 3	Количество объектов: 1000
Размерность:	Время, с:
1	0,2746
2	0,4162
3	0,5666
4	0,7079999
5	0,8504
6	1,0062
7	1,1506
8	1,2892
9	1,4394
10	1,566
Количество кластеров: 3	Размерность: 3
Количество объектов:	Время, с:
1000	0,5608
2000	2,2618
3000	5,0878
4000	9,0762
5000	14,1094
6000	20,2132
7000	27,5752
8000	35,7616
9000	45,1946
10000	56,7588
