 	Модифицированная Hubert's Г статистика
Размерность: 3	Количество объектов: 1000
Количество кластеров:	Время, с:
2	0,0124
3	0,2928
4	0,3312
5	0,3682
6	0,3948
7	0,4062
8	0,4136
9	0,42
10	0,4342
Количество кластеров: 3	Количество объектов: 1000
Размерность:	Время, с:
1	0,1132
2	0,1772
3	0,2436
4	0,3068
5	0,3818
6	0,4424
7	0,5124
8	0,5756
9	0,6606
10	0,7158
Количество кластеров: 3	Размерность: 3
Количество объектов:	Время, с:
1000	0,2474
2000	0,9838001
3000	2,2154
4000	3,9524
5000	6,1594
6000	8,922999
7000	12,157
8000	15,966
9000	20,112
10000	25,0932
