 	Нормализованная Hubert's Г статистика
Размерность: 3	Количество объектов: 1000
Количество кластеров:	Время, с:
2	1,2554
3	1,6208
4	1,731
5	1,7832
6	1,8176
7	1,8482
8	1,8574
9	1,8832
10	1,888
Количество кластеров: 3	Количество объектов: 1000
Размерность:	Время, с:
1	0,787
2	1,216
3	1,6152
4	2,0348
5	2,4506
6	2,8774
7	3,2798
8	3,7056
9	4,112
10	4,561
Количество кластеров: 3	Размерность: 3
Количество объектов:	Время, с:
1000	1,6192
2000	6,5122
3000	14,6164
4000	26,0004
5000	40,5966
6000	58,2846
7000	79,51421
8000	103,7578
9000	131,4568
10000	161,9424
